,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,error_message,search_index
2103,15224,tt1772341,movie,Wreck-It Ralph,Wreck-It Ralph,0,2012,\N,101,"Adventure,Animation,Comedy",wreckit ralph,2012-11-02,Wreck-It Ralph,165000000.0,189412677.0,496511521.0,Walt Disney,PG,Adventure,1,7.7,447884.0,"HTTPSConnectionPool(host='trends.google.com', port=443): Max retries exceeded with url: /trends/api/explore?hl=en-US&tz=360&req=%7B%22comparisonItem%22%3A+%5B%7B%22keyword%22%3A+%22Wreck-It+Ralph%22%2C+%22time%22%3A+%222011-11-03+2012-11-02%22%2C+%22geo%22%3A+%22%22%7D%5D%2C+%22category%22%3A+0%2C+%22property%22%3A+%22%22%7D (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1123)')))",
2104,3126,tt0477139,movie,Wristcutters: A Love Story,Wristcutters: A Love Story,0,2006,\N,88,"Comedy,Drama,Fantasy",wristcutters a love story,2007-10-19,Wristcutters: A Love Story,1000000.0,446165.0,473769.0,Autonomous Films,R,Comedy,1,7.2,57270.0,,14.153846153846153
2105,1744,tt0295700,movie,Wrong Turn,Wrong Turn,0,2003,\N,84,"Horror,Thriller",wrong turn,2003-05-30,Wrong Turn,10000000.0,15417771.0,28649556.0,20th Century Fox,R,Horror,1,6.1,128724.0,"HTTPSConnectionPool(host='trends.google.com', port=443): Read timed out. (read timeout=5)",
2106,31500,tt7248056,tvEpisode,X-Men 2,X-Men 2,0,2017,\N,\N,"Comedy,Talk-Show",xmen ,2003-05-02,X-Men 2,125000000.0,214949694.0,406875536.0,20th Century Fox,PG-13,Action,1,7.5,16.0,The request failed: Google returned a response with code 500,
2107,3008,tt0458525,movie,X-Men Origins: Wolverine,X-Men Origins: Wolverine,0,2009,\N,107,"Action,Sci-Fi",xmen origins wolverine,2009-05-01,X-Men Origins: Wolverine,150000000.0,179883157.0,374825760.0,20th Century Fox,PG-13,Action,1,6.5,522763.0,,8.173076923076923
2108,9809,tt1270798,movie,X-Men: First Class,X: First Class,0,2011,\N,131,"Action,Sci-Fi",xmen first class,2011-06-03,X-Men: First Class,160000000.0,146408305.0,355408305.0,20th Century Fox,PG-13,Action,1,7.7,713915.0,,7.365384615384615
2109,16477,tt1979628,tvEpisode,XXX: State of the Union,XXX: State of the Union,0,2008,\N,\N,Documentary,xxx state of the union,2005-04-29,XXX: State of the Union,60000000.0,26873932.0,71073932.0,Sony Pictures,PG-13,Action,1,,,The request failed: Google returned a response with code 429,
2110,6673,tt1045778,movie,Year One,Year One,0,2009,\N,97,Comedy,year one,2009-06-19,Year One,60000000.0,43337279.0,57604723.0,Sony Pictures,PG-13,Comedy,1,4.9,102058.0,The request failed: Google returned a response with code 429,
2111,2393,tt0381717,movie,Yes,Yes,0,2004,\N,100,"Drama,Romance",yes,2005-06-24,Yes,1700000.0,396035.0,661221.0,Sony Pictures Classics,R,Drama,1,6.4,3228.0,The request failed: Google returned a response with code 429,
2112,6961,tt1068680,movie,Yes Man,Yes Man,0,2008,\N,104,"Comedy,Romance",yes man,2008-12-19,Yes Man,50000000.0,97690976.0,225990976.0,Warner Bros.,PG-13,Comedy,1,6.8,377240.0,The request failed: Google returned a response with code 429,
2113,24344,tt3838992,movie,Yoga Hosers,Yoga Hosers,0,2016,\N,88,"Action,Comedy,Horror",yoga hosers,2016-09-02,Yoga Hosers,5000000.0,0.0,2199.0,Invincible Pictures,PG-13,Adventure,1,4.2,15193.0,,13.846153846153847
2114,10226,tt1302067,movie,Yogi Bear,Yogi Bear,0,2010,\N,81,"Adventure,Comedy,Family",yogi bear,2010-12-17,Yogi Bear,80000000.0,100246011.0,204774690.0,Warner Bros.,PG,Adventure,1,4.6,23113.0,,15.115384615384615
2115,11805,tt1414382,movie,You Again,You Again,0,2010,\N,105,"Comedy,Romance",you again,2010-09-24,You Again,20000000.0,25702053.0,32838945.0,Walt Disney,PG,Comedy,1,5.7,53765.0,,55.38461538461539
2116,2237,tt0365957,movie,You Got Served,You Got Served,0,2004,\N,95,"Drama,Music",you got served,2004-01-30,You Got Served,8000000.0,40066497.0,50811858.0,Sony Pictures,PG-13,Drama,1,3.8,28454.0,,45.5
