,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,error_message,search_index
1276,3196,tt0485985,movie,Red Tails,Red Tails,0,2012,\N,125,"Action,Drama,History",red tails,2012-01-20,Red Tails,58000000.0,49876377.0,50365498.0,20th Century Fox,PG-13,Action,1,5.9,36755.0,,3.1346153846153846
1277,5741,tt0937237,movie,Redacted,Redacted,0,2007,\N,90,"Crime,Thriller,War",redacted,2007-11-16,Redacted,5000000.0,65388.0,861325.0,Magnolia Pictures,R,Drama,1,6.1,11158.0,,9.346153846153847
1278,6190,tt1012804,movie,Redbelt,Redbelt,0,2008,\N,99,"Drama,Sport",redbelt,2008-05-02,Redbelt,7000000.0,2344847.0,2667084.0,Sony Pictures Classics,R,Action,1,6.7,21396.0,,6.673076923076923
1279,12527,tt1470020,movie,Redemption Road,Redemption Road,0,2010,\N,95,Drama,redemption road,2011-08-26,Redemption Road,2300000.0,29384.0,29384.0,Freestyle Releasing,PG-13,Drama,1,5.6,583.0,,35.30769230769231
1280,3230,tt0490204,movie,Reign Over Me,Reign Over Me,0,2007,\N,124,Drama,reign over me,2007-03-23,Reign Over Me,20000000.0,19661987.0,20081987.0,Sony Pictures,R,Drama,1,7.4,98873.0,,5.0
1281,1442,tt0253556,movie,Reign of Fire,Reign of Fire,0,2002,\N,101,"Action,Adventure,Fantasy",reign of fire,2002-02-19,Reign of Fire,60000000.0,43061982.0,82150183.0,Walt Disney,PG-13,Action,1,6.2,143394.0,The request failed: Google returned a response with code 500,
1282,11651,tt1403981,movie,Remember Me,Remember Me,0,2010,\N,113,"Drama,Romance",remember me,2010-03-12,Remember Me,16000000.0,19068240.0,56506120.0,Summit Entertainment,PG-13,Drama,1,7.1,153796.0,,18.28846153846154
1283,2453,tt0386741,movie,Renaissance,Renaissance,0,2006,\N,105,"Action,Animation,Sci-Fi",renaissance,2006-09-22,Renaissance,18000000.0,70644.0,2401413.0,Miramax,R,Action,1,6.6,16348.0,,80.5576923076923
1284,3291,tt0499554,movie,Reno 911!: Miami,Reno 911!: Miami,0,2007,\N,80,"Comedy,Crime",reno  miami,2007-02-23,Reno 911!: Miami,10000000.0,20342161.0,21851362.0,20th Century Fox,R,Comedy,1,5.9,27754.0,,8.038461538461538
1285,6758,tt1053424,movie,Repo Men,Repo Men,0,2010,\N,111,"Action,Sci-Fi,Thriller",repo men,2010-03-19,Repo Men,32000000.0,13942007.0,18195238.0,Universal,R,Action,1,6.3,109769.0,,3.730769230769231
1286,3034,tt0462504,movie,Rescue Dawn,Rescue Dawn,0,2006,\N,125,"Adventure,Biography,War",rescue dawn,2007-07-04,Rescue Dawn,10000000.0,5490423.0,7037886.0,MGM,PG-13,Action,1,7.3,109617.0,,8.192307692307692
1287,782,tt0120804,movie,Resident Evil,Resident Evil,0,2002,\N,100,"Action,Horror,Sci-Fi",resident evil,2002-03-15,Resident Evil,35000000.0,40119709.0,103787401.0,Sony Pictures,R,Horror,1,6.6,283188.0,"HTTPSConnectionPool(host='trends.google.com', port=443): Read timed out. (read timeout=5)",
1288,9074,tt1220634,movie,Resident Evil: Afterlife,Resident Evil: Afterlife,0,2010,\N,96,"Action,Horror,Sci-Fi",resident evil afterlife,2010-09-10,Resident Evil: Afterlife,57500000.0,60128566.0,295874190.0,Sony Pictures,R,Horror,1,5.8,177087.0,,5.673076923076923
1289,1920,tt0318627,movie,Resident Evil: Apocalypse,Resident Evil: Apocalypse,0,2004,\N,94,"Action,Horror,Sci-Fi",resident evil apocalypse,2004-09-10,Resident Evil: Apocalypse,50000000.0,50740078.0,125168734.0,Sony Pictures,R,Horror,1,6.1,207079.0,,22.11111111111111
1290,2800,tt0432021,movie,Resident Evil: Extinction,Resident Evil: Extinction,0,2007,\N,94,"Action,Horror,Sci-Fi",resident evil extinction,2007-09-21,Resident Evil: Extinction,45000000.0,50648679.0,146162920.0,Sony Pictures,R,Action,1,6.2,202763.0,,12.942307692307692
1291,15754,tt1855325,movie,Resident Evil: Retribution,Resident Evil: Retribution,0,2012,\N,95,"Action,Horror,Sci-Fi",resident evil retribution,2012-09-14,Resident Evil: Retribution,65000000.0,42345531.0,238940997.0,Sony Pictures,R,Action,1,5.3,148006.0,,9.615384615384615
1292,19971,tt2592614,movie,Resident Evil: The Final Chapter,Resident Evil: The Final Chapter,0,2016,\N,107,"Action,Horror,Sci-Fi",resident evil the final chapter,2017-01-27,Resident Evil: The Final Chapter,40000000.0,26844692.0,312825686.0,Sony Pictures,R,Action,1,5.5,99154.0,,6.769230769230769
1293,12882,tt1498569,movie,Restless,Restless,0,2011,\N,91,"Drama,Romance",restless,2011-09-16,Restless,8000000.0,163753.0,2772511.0,Sony Pictures Classics,PG-13,Drama,1,6.7,18259.0,,40.21153846153846
1294,2671,tt0416185,movie,Resurrecting the Champ,Resurrecting the Champ,0,2007,\N,112,"Drama,Sport",resurrecting the champ,2007-08-24,Resurrecting the Champ,13000000.0,3172382.0,3260555.0,Yari Film Group Rel…,PG-13,Drama,1,6.7,21178.0,,5.538461538461538
1295,5832,tt0959337,movie,Revolutionary Road,Revolutionary Road,0,2008,\N,119,"Drama,Romance",revolutionary road,2008-12-26,Revolutionary Road,45000000.0,22951340.0,79604820.0,Paramount Vantage,R,Drama,1,7.3,221797.0,,7.923076923076923
1296,23790,tt3623726,movie,Ricki and the Flash,Ricki and the Flash,0,2015,\N,101,"Comedy,Drama,Music",ricki and the flash,2015-08-07,Ricki and the Flash,18000000.0,26839498.0,41166033.0,Sony Pictures,PG-13,Drama,1,6.0,24513.0,The request failed: Google returned a response with code 429,
1297,11763,tt1411250,movie,Riddick,Riddick,0,2013,\N,119,"Action,Adventure,Sci-Fi",riddick,2013-09-06,Riddick,38000000.0,42025135.0,94763758.0,Universal,R,Action,1,6.4,175360.0,,9.788461538461538
1298,11711,tt1408253,movie,Ride Along,Ride Along,0,2014,\N,99,"Action,Comedy,Crime",ride along,2014-01-17,Ride Along,25000000.0,134202565.0,153733800.0,Universal,PG-13,Comedy,1,6.1,120929.0,,5.461538461538462
1299,21579,tt2869728,movie,Ride Along 2,Ride Along 2,0,2016,\N,102,"Action,Comedy,Crime",ride along ,2016-01-15,Ride Along 2,40000000.0,90862685.0,124827316.0,Universal,PG-13,Comedy,1,5.9,61953.0,,5.0576923076923075
1300,1155,tt0200027,movie,Riding in Cars with Boys,Riding in Cars with Boys,0,2001,\N,132,"Biography,Comedy,Drama",riding in cars with boys,2001-10-19,Riding in Cars with Boys,47000000.0,29781453.0,29781453.0,Sony Pictures,PG-13,Drama,1,6.5,30199.0,The request failed: Google returned a response with code 500,
1301,3278,tt0498381,movie,Rings,Rings,0,2017,\N,102,"Drama,Horror,Mystery",rings,2017-02-03,Rings,25000000.0,27793018.0,82933201.0,Paramount Pictures,PG-13,Horror,1,4.5,42601.0,,71.3076923076923
1302,12077,tt1436562,movie,Rio,Rio,0,2011,\N,96,"Adventure,Animation,Comedy",rio,2011-04-15,Rio,90000000.0,143619809.0,487519809.0,20th Century Fox,G,Adventure,1,6.9,242871.0,,62.80769230769231
1303,19105,tt2357291,movie,Rio 2,Rio 2,0,2014,\N,101,"Adventure,Animation,Comedy",rio ,2014-04-11,Rio 2,130000000.0,131538435.0,492846291.0,20th Century Fox,G,Adventure,1,6.3,97991.0,,9.653846153846153
1304,12193,tt1446192,movie,Rise of the Guardians,Rise of the Guardians,0,2012,\N,97,"Action,Adventure,Animation",rise of the guardians,2012-11-21,Rise of the Guardians,145000000.0,103412758.0,306900902.0,Paramount Pictures,PG,Adventure,1,7.2,188209.0,,5.846153846153846
1305,10429,tt1318514,movie,Rise of the Planet of the Apes,Rise of the Planet of the Apes,0,2011,\N,105,"Action,Drama,Sci-Fi",rise of the planet of the apes,2011-08-05,Rise of the Planet of the Apes,93000000.0,176760185.0,482860185.0,20th Century Fox,PG-13,Adventure,1,7.6,548548.0,,4.326923076923077
1306,22947,tt3231054,movie,Risen,Risen,0,2016,\N,107,"Action,Drama,History",risen,2016-02-19,Risen,20000000.0,36880033.0,46255763.0,Sony Pictures,PG-13,Drama,1,6.3,30021.0,,16.326923076923077
1307,1465,tt0257044,movie,Road to Perdition,Road to Perdition,0,2002,\N,117,"Crime,Drama,Thriller",road to perdition,2002-07-12,Road to Perdition,80000000.0,104054514.0,183354514.0,Dreamworks SKG,R,Drama,1,7.7,280096.0,The request failed: Google returned a response with code 500,
1308,748,tt0117496,movie,Robinson Crusoe,Robinson Crusoe,0,1997,\N,105,"Adventure,Drama",robinson crusoe,2016-09-09,Robinson Crusoe,13000000.0,8005586.0,33490316.0,Lionsgate,PG,Adventure,1,5.9,13033.0,,29.557692307692307
1309,16594,tt1990314,movie,Robot & Frank,Robot & Frank,0,2012,\N,89,"Comedy,Crime,Drama",robot  frank,2012-08-17,Robot & Frank,2500000.0,3317468.0,4934356.0,Samuel Goldwyn Films,PG-13,Drama,1,7.0,65396.0,,10.211538461538462
1310,2166,tt0358082,movie,Robots,Robots,0,2005,\N,91,"Adventure,Animation,Comedy",robots,2005-03-11,Robots,80000000.0,128200012.0,260700012.0,20th Century Fox,PG,Adventure,1,6.4,158190.0,,39.26923076923077
1311,21247,tt2822672,movie,Rock Dog,Rock Dog,0,2016,\N,90,"Adventure,Animation,Comedy",rock dog,2017-02-24,Rock Dog,60000000.0,9420546.0,24152192.0,Lionsgate,PG,Adventure,1,5.9,5879.0,,11.115384615384615
1312,1164,tt0202470,movie,Rock Star,Rock Star,0,2001,\N,105,"Drama,Music",rock star,2001-09-07,Rock Star,38000000.0,16991902.0,19317765.0,Warner Bros.,R,Drama,1,6.3,44805.0,The request failed: Google returned a response with code 500,
1313,27615,tt5462288,movie,Rockaway,Rockaway,0,2017,\N,90,Drama,rockaway,2007-07-07,Rockaway,2000000.0,0.0,0.0,Off-Hollywood Distr…,R,Drama,1,6.2,8044.0,,73.65384615384616
1314,6481,tt1032755,movie,RocknRolla,RocknRolla,0,2008,\N,114,"Action,Crime,Thriller",rocknrolla,2008-10-08,RocknRolla,18000000.0,5700626.0,27794339.0,Warner Bros.,R,Action,1,7.2,261771.0,,10.634615384615385
1315,3144,tt0479143,movie,Rocky Balboa,Rocky Balboa,0,2006,\N,102,"Action,Drama,Sport",rocky balboa,2006-12-20,Rocky Balboa,24000000.0,70269899.0,156229050.0,MGM,PG,Drama,1,7.1,228362.0,,9.557692307692308
1316,3148,tt0479528,movie,Rogue,Rogue,0,2007,\N,99,"Action,Drama,Horror",rogue,2008-04-25,Rogue,23000000.0,10452.0,4673377.0,Weinstein Co.,R,Horror,1,6.2,32909.0,,77.23076923076923
1317,2794,tt0430922,movie,Role Models,Role Models,0,2008,\N,99,Comedy,role models,2008-11-07,Role Models,28000000.0,67300955.0,94500826.0,Universal,R,Comedy,1,6.8,238489.0,,9.211538461538462
1318,2586,tt0403455,movie,Roll Bounce,Roll Bounce,0,2005,\N,112,"Comedy,Drama,Music",roll bounce,2005-09-23,Roll Bounce,10000000.0,17380866.0,17433072.0,Fox Searchlight,PG-13,Comedy,1,6.2,7700.0,,7.25
1319,1397,tt0246894,movie,Rollerball,Rollerball,0,2002,\N,98,"Action,Sci-Fi,Sport",rollerball,2002-02-08,Rollerball,70000000.0,18990542.0,25852508.0,MGM,PG-13,Action,1,3.1,29147.0,"HTTPSConnectionPool(host='trends.google.com', port=443): Read timed out. (read timeout=5)",
