,imdb_id,title,plot,type,rated,year,released_at,added_at,runtime,genre,director,writer,actors,language,country,awards,metascore,imdb_rating,imdb_votes,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,matched_profit_indicator,Network,Critic Score,Audience Score,tv_link,nob_audience,Rating,Review_audience,nob_critics,Sentiment,Review_critics,matched_audience_indicator,matched_critics_indicator,matched_all_review_indicator
916,tt0098966,Three Men and a Little Lady,"Three ex-dads quickly discover how empty life is without their little lady, and go to outrageous lengths in their efforts to win their daughter back in this critically acclaimed and equally charming sequel.",movie,PG,1990,21 Nov 1990,"November 12, 2019",104 min,"Comedy, Drama, Family, Romance",Emile Ardolino,"Coline Serreau (screenplay ""Trois Hommes Et Un Couffin""), Sara Parriott (story), Josann McGibbon (story), Charlie Peters (screenplay)","Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis",English,USA,1 win & 1 nomination.,51.0,5.4,"21,881",,,,,,0,,,,,,,,,,,,,
917,,,,,,,,"November 12, 2019",,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
918,tt0111419,Thumbelina,The tiny girl meets a fairy Prince who saves her from the creatures of the woods.,movie,G,1994,30 Mar 1994,"November 12, 2019",86 min,"Animation, Family, Fantasy, Musical, Romance","Don Bluth, Gary Goldman","Hans Christian Andersen (original classic fairytale), Don Bluth (screenplay)","Gino Conforti, Barbara Cook, Jodi Benson, Will Ryan",English,"Ireland, USA, Canada, UK, Denmark, Spain, Poland, Hungary",1 win.,,6.3,"14,576",,,,,,0,,,,,,,,,,,,,
919,tt0397113,Tiger Cruise,"In the wake of the World Trade Center attacks, a naval carrier with civilians on board is ordered in combat mode.",movie,TV-PG,2004,06 Aug 2004,"November 12, 2019",88 min,"Drama, Family",Duwayne Dunham,"Anna Sandor, Bruce Graham","Hayden Panettiere, Bill Pullman, Troy Evans, Bianca Collins",English,USA,3 nominations.,,6.2,"1,166",,,,,,0,,,,,,,,,,,,,
920,tt0107688,The Nightmare Before Christmas,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",movie,PG,1993,29 Oct 1993,"November 12, 2019",76 min,"Animation, Family, Fantasy, Musical",Henry Selick,"Tim Burton (story and characters), Michael McDowell (adaptation), Caroline Thompson (screenplay)","Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey",English,USA,Nominated for 1 Oscar. Another 7 wins & 16 nominations.,82.0,8.0,"281,155",,,,,,0,,,,,,,,,,,,,
921,tt6820324,Timmy Failure: Mistakes Were Made,"An 11-year-old boy who believes that he is the best detective in town runs the agency Total Failures with his best friend, an imaginary 1,200-pound polar bear.",movie,PG,2020,07 Feb 2020,"February 7, 2020",99 min,"Adventure, Comedy, Drama, Family, Fantasy",Tom McCarthy,"Tom McCarthy (screenplay by), Stephan Pastis (screenplay by), Stephan Pastis (based on the book by)","Winslow Fegley, Ophelia Lovibond, Wallace Shawn, Craig Robinson",English,USA,,60.0,6.1,"1,300",,,,,,0,,,,,,,,,,,,,
922,tt0112197,Timon & Pumbaa,The further misadventures of various Lion King characters.,series,TV-Y,1995–1999,08 Sep 1995,"November 12, 2019",22 min,"Animation, Adventure, Comedy, Family",,,"Ernie Sabella, Kevin Schon","English, Telugu",USA,3 wins & 14 nominations.,,7.1,"8,549",,,,,,0,,,,,,,,,,,,,
923,tt0096273,Tin Toy,A tin one-man-band toy tries to escape a destructive baby.,movie,G,1988,30 Dec 1988,"November 12, 2019",5 min,"Animation, Short, Family, Fantasy",John Lasseter,John Lasseter (story),"Mel Blanc, Rob Paulsen",English,USA,Won 1 Oscar. Another 3 wins.,,6.5,"9,253",,,,,,0,,,,,,,,,,,,,
924,tt0823671,Tinker Bell,Enter the land of Tinker Bell and her four best fairy friends.,movie,G,2008,28 Oct 2008,"November 12, 2019",78 min,"Animation, Adventure, Family, Fantasy",Bradley Raymond,"Jeffrey M. Howard (screenplay), Jeffrey M. Howard (story), Bradley Raymond (story), J.M. Barrie (characters)","Mae Whitman, Kristin Chenoweth, Raven-Symoné, Lucy Liu",English,USA,,,6.8,"11,194",,,,,,0,,,,,,,,,,,,,
925,tt1216515,Tinker Bell and the Great Fairy Rescue,Tinker Bell must team up with a rival fairy to keep their existence a secret from humans.,movie,G,2010,21 Sep 2010,"November 12, 2019",76 min,"Animation, Adventure, Family, Fantasy",Bradley Raymond,"Bob Hilgenberg (screenplay), Rob Muir (screenplay), Joe Ansolabehere (screenplay), Paul Germain (screenplay), Bradley Raymond (story), Jeffrey M. Howard (story)","Mae Whitman, Lauren Mote, Michael Sheen, Pamela Adlon",English,USA,1 win & 1 nomination.,,6.9,"7,103",,,,,,0,,,,,,,,,,,,,
926,tt1216516,Tinker Bell and the Lost Treasure,Tinker Bell journey far North of Never Land to patch things up with her friend Terence and restore a Pixie Dust Tree.,movie,G,2009,27 Oct 2009,"November 12, 2019",81 min,"Animation, Adventure, Family, Fantasy",Klay Hall,"Evan Spiliotopoulos (screenplay), Klay Hall (story), Evan Spiliotopoulos (story)","Mae Whitman, Jesse McCartney, Jane Horrocks, Lucy Liu",English,USA,1 nomination.,,6.7,"9,233",,,,,,0,,,,,,,,,,,,,
927,tt7620568,Titanic: 20 Years Later with James Cameron,"For the 20th anniversary of ""Titanic,"" James Cameron reopens the file on the disaster.",movie,,2017,26 Nov 2017,"November 12, 2019",46 min,Documentary,Thomas C. Grane,Richard Brehm,"Jacqueline Astor Drexel, Robert Ballard, Harold Bride, Muffet Laurie Brown",English,USA,,,7.2,273,,,,,,0,,,,,,,,,,,,,
928,tt0028390,Toby Tortoise Returns,"Max Hare is boxing Toby Tortoise, and beating him severely in round one. Between rounds, a Mae West lookalike tells Toby she ""likes a man who takes his time"", which seems to reinvigorate ...",movie,APPROVED,1936,22 Aug 1936,"November 12, 2019",7 min,"Animation, Short, Comedy",Wilfred Jackson,,"Alyce Ardell, Marcellite Garner, Eddie Holden, Leone Le Doux",English,USA,,,7.0,532,,,,,,0,,,,,,,,,,,,,
929,tt5116302,Togo,"The story of the sled dog, Togo, who led the 1925 serum run, but was considered by most to be too small and weak to lead such an intense race.",movie,PG,2019,20 Dec 2019,"December 20, 2019",113 min,"Adventure, Biography, Drama, Family, History",Ericson Core,Tom Flynn (screenplay),"Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Richard Dormer",English,USA,1 win & 2 nominations.,69.0,8.1,"24,630",,,,,,0,,,,,,,,,,,,,
930,tt0112302,Tom and Huck,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,movie,PG,1995,22 Dec 1995,"November 12, 2019",97 min,"Adventure, Comedy, Drama, Family, Romance, Western",Peter Hewitt,"Mark Twain (novel), Stephen Sommers (screenplay), David Loughery (screenplay)","Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket",English,USA,1 win & 5 nominations.,,5.5,"9,519",,,,,,0,,,,,,,,,,,,,
