,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,profit,log_profit,log_production_budget,same_period_indicator,same_period_profit,same_period_rating,same_period_budget,same_period_movie_id,high_rating_dummy
26,25365,tt4337690,movie,90 Minutes in Heaven,90 Minutes in Heaven,0,2015,\N,121,Drama, minutes in heaven,2015-09-11,90 Minutes in Heaven,5000000.0,4816142.0,4816142.0,Samuel Goldwyn Films,PG-13,Drama,1,4.9,4232.0,-183858.0,18.8895346062193,15.424948670398354,0,0.0,0.0,0.0,,0
27,29472,tt6359956,movie,A Bad Moms Christmas,A Bad Moms Christmas,0,2017,\N,104,Comedy,a bad moms christmas,2017-11-01,A Bad Moms Christmas,28000000.0,72110659.0,127710659.0,STX Entertainment,R,Comedy,1,5.6,55856.0,99710659.0,19.375078723152896,17.147715103853763,1,19.048850623318717,6.550000000000001,16.464669316238293,"tt3348730,tt4778988,tt4925292,tt2776878",0
28,1532,tt0268978,movie,A Beautiful Mind,A Beautiful Mind,0,2001,\N,135,"Biography,Drama",a beautiful mind,2001-12-21,A Beautiful Mind,78000000.0,170708996.0,317668058.0,Universal,PG-13,Drama,1,8.2,968289.0,239668058.0,19.80614490805406,18.17221939747438,1,18.93124812208653,6.550000000000001,17.08318522333584,"tt0248667,tt0280707,tt0278488,tt0268397,tt0279889,tt0285742,tt0268995,tt0120824",1
29,13599,tt1554091,movie,A Better Life,A Better Life,0,2011,\N,98,"Drama,Romance",a better life,2011-06-24,A Better Life,10000000.0,1759252.0,1884251.0,Summit Entertainment,PG-13,Drama,1,7.2,16410.0,-8115749.0,18.83862928872215,16.118095750958318,1,19.69170172447052,5.6,16.75994958976229,tt1284575,1
30,13752,tt1571222,movie,A Dangerous Method,A Dangerous Method,0,2011,\N,99,"Biography,Drama,Romance",a dangerous method,2011-11-23,A Dangerous Method,20000000.0,5702083.0,14807531.0,Sony Pictures Classics,R,Drama,1,6.4,107251.0,-5192469.0,18.85769317426697,16.811242881518265,1,19.16942498743622,6.8,17.084853417122122,"tt1719071,tt1430607,tt1402488,tt1655420,tt1655442,tt1204342",0
31,14044,tt1606378,movie,A Good Day to Die Hard,A Good Day to Die Hard,0,2013,\N,98,"Action,Thriller",a good day to die hard,2013-02-14,A Good Day to Die Hard,92000000.0,67349198.0,304249198.0,20th Century Fox,R,Action,1,5.2,212729.0,212249198.0,19.735074077746358,18.33729914588288,1,19.236270983153663,6.6,17.147715103853763,tt1702439,0
32,2568,tt0401445,movie,A Good Year,A Good Year,0,2006,\N,117,"Comedy,Drama,Romance",a good year,2006-11-10,A Good Year,35000000.0,7459300.0,42064105.0,20th Century Fox,PG-13,Drama,1,6.9,99696.0,7064105.0,18.93388816498593,17.370858648025116,1,18.915205416260832,6.8,15.886510581753642,"tt0457308,tt0424908,tt0433387,tt0420223",0
33,18399,tt2243537,movie,A Haunted House,A Haunted House,0,2013,\N,86,"Comedy,Fantasy,Horror",a haunted house,2013-01-11,A Haunted House,2500000.0,40041683.0,59922558.0,Open Road,R,Comedy,1,5.0,49129.0,57422558.0,19.197353294517246,14.731801689838349,1,19.13675903594571,6.75,17.061630529262388,"tt1321870,tt1441951",0
34,21293,tt2828996,movie,A Haunted House 2,A Haunted House 2,0,2014,\N,86,"Comedy,Fantasy,Horror",a haunted house ,2014-04-18,A Haunted House 2,4000000.0,17329487.0,21206861.0,Open Road,R,Comedy,1,4.7,23009.0,17206861.0,18.992828319990444,15.201805169084134,0,0.0,0.0,0.0,,0
35,2550,tt0399146,movie,A History of Violence,A History of Violence,0,2005,\N,96,"Action,Crime,Drama",a history of violence,2005-09-23,A History of Violence,32000000.0,31493782.0,61477797.0,New Line,R,Drama,1,7.4,249037.0,29477797.0,19.059782414673005,17.281246492014,1,18.927105035567305,6.720000000000001,15.872237891573054,"tt0121164,tt0395543,tt0380599,tt8334618,tt0403455",1
36,22128,tt2980210,movie,A Hologram for the King,A Hologram for the King,0,2016,\N,98,"Comedy,Drama,Romance",a hologram for the king,2016-04-22,A Hologram for the King,35000000.0,4212494.0,11848058.0,Roadside Attractions,R,Drama,1,6.1,46912.0,-23151942.0,18.73438180993788,17.370858648025116,1,18.911605012753704,5.55,14.946392430117783,"tt3367294,tt4501454",0
37,2174,tt0359423,movie,A Home at the End of the World,A Home at the End of the World,0,2004,\N,97,"Drama,Romance",a home at the end of the world,2004-07-23,A Home at the End of the World,6500000.0,1029017.0,1033810.0,Warner Independent,R,Drama,1,6.6,13908.0,-5466190.0,18.855923471783733,15.687312888712007,1,18.926648903361794,5.4,16.57624122189536,"tt0327554,tt0333766",0
38,2490,tt0391304,movie,A Lot Like Love,A Lot Like Love,0,2005,\N,107,"Comedy,Drama,Romance",a lot like love,2005-04-22,A Lot Like Love,25000000.0,21835784.0,41921590.0,Walt Disney,PG-13,Comedy,1,6.6,70758.0,16921590.0,18.991217203689057,17.034386422832473,1,18.76751181581913,5.599999999999999,16.800659983585447,"tt0388183,tt0206113,tt0354595",0
