,index,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,search_index,error_message,profit,log_profit,log_production_budget,same_period_indicator,same_period_profit,same_period_rating,same_period_budget,same_period_movie_id,avg_search_index
387,313,53,1453.0,34542,tt9381622,tvSeries,Special,Special,0,2019,2021,15,"Comedy,Drama",special,2008-11-21,Special,1000000.0,7202.0,26822.0,Revolver Entertainment,R,Drama,1,7.6,10117.0,87.73076923076923,,-973178.0,18.884583444069786,13.815511557963774,1,19.356332699594223,6.666666666666667,17.94497531512787,"tt0369436,tt1013753,tt0397892",26.538461538461537
388,314,54,1454.0,5216,tt0811080,movie,Speed Racer,Speed Racer,0,2008,\N,135,"Action,Adventure,Comedy",speed racer,2008-05-09,Speed Racer,120000000.0,43945766.0,93394462.0,Warner Bros.,PG,Action,1,6.1,77269.0,9.557692307692308,,-26605538.0,18.708821183837742,18.603002309079653,0,0.0,0.0,0.0,,0.0
389,318,58,1458.0,6286,tt1017460,movie,Splice,Splice,0,2009,\N,104,"Horror,Sci-Fi",splice,2010-06-04,Splice,30000000.0,17010170.0,28542494.0,Warner Bros.,R,Horror,1,5.8,100800.0,11.0,,-1457506.0,18.8815332226028,17.21670797295976,1,19.027740403144715,5.7,17.41633489909754,"tt1103153,tt1235796,tt1392197,tt1226229",15.495192307692307
390,319,59,1459.0,26597,tt4972582,movie,Split,Split,0,2016,\N,117,"Horror,Thriller",split,2017-01-20,Split,5000000.0,138141585.0,278306227.0,Universal,PG-13,Horror,1,7.3,534356.0,42.51923076923077,,273306227.0,19.88695526002018,15.424948670398354,1,19.232091259429158,6.233333333333333,16.43012696349218,"tt4276820,tt4902904,tt1293847",9.352564102564102
391,320,60,1460.0,16001,tt1895587,movie,Spotlight,Spotlight,0,2015,\N,129,"Biography,Crime,Drama",spotlight,2015-11-06,Spotlight,20000000.0,45055776.0,92108847.0,Open Road,R,Drama,1,8.1,492337.0,74.86538461538461,,72108847.0,19.262716992017413,16.811242881518265,1,19.178716358389277,6.733333333333333,16.97481787698574,"tt2452042,tt2381111,tt3453052",36.160256410256416
392,323,63,1463.0,11542,tt1397132,tvSeries,Spy!,Spy!,0,1980,\N,60,"Crime,Drama",spy,2015-06-05,Spy!,65000000.0,110825712.0,233121406.0,20th Century Fox,R,Comedy,1,,,10.557692307692308,,168121406.0,19.60889424115497,17.989897843244524,1,18.894859436669076,7.35,16.853183624658037,"tt0387199,tt2584018",43.16346153846154
393,324,64,1464.0,17883,tt2170593,movie,St. Vincent,St. Vincent,0,2014,\N,102,"Comedy,Drama",st vincent,2014-10-10,St. Vincent,13000000.0,44137712.0,54837234.0,Weinstein Co.,PG-13,Comedy,1,7.2,107324.0,51.84615384615385,,41837234.0,19.122972163233765,16.380459992348886,1,19.03129158103397,6.966666666666666,16.053971861085913,"tt1872194,tt2582802,tt2205401",42.01923076923077
394,325,65,1465.0,12444,tt1464580,movie,Stake Land,Stake Land,0,2010,\N,98,"Drama,Horror,Sci-Fi",stake land,2011-04-22,Stake Land,4000000.0,33245.0,679482.0,IFC Films,R,Horror,1,6.4,43760.0,6.846153846153846,,-3320518.0,18.86971276703729,15.201805169084134,1,19.093130564931514,5.966666666666666,16.650550847566084,"tt1787759,tt1618430,tt1067583",8.192307692307692
395,326,66,1466.0,5132,tt0796366,movie,Star Trek,Star Trek,0,2009,\N,127,"Action,Adventure,Sci-Fi",star trek,2009-05-08,Star Trek,140000000.0,257730019.0,385680446.0,Paramount Pictures,PG-13,Adventure,1,7.9,615514.0,15.788461538461538,,245680446.0,19.821076331304106,18.757152987716438,1,18.93453689104028,5.7,14.91412317996566,tt1097013,5.846153846153846
396,328,68,1468.0,3004,tt0458290,tvSeries,Star Wars: The Clone Wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",star wars the clone wars,2008-08-15,Star Wars: The Clone Wars,8500000.0,35161554.0,68695443.0,Warner Bros.,PG,Adventure,1,8.4,115228.0,9.711538461538462,,60195443.0,19.210026091757246,15.955576839107596,1,19.171845274619578,6.625,17.199459763966992,"tt1031969,tt0942385,tt0497465,tt0790686",21.197115384615387
397,329,69,1469.0,3203,tt0486655,movie,Stardust,Stardust,0,2007,\N,127,"Adventure,Family,Fantasy",stardust,2007-08-10,Stardust,70000000.0,38634938.0,137022245.0,Paramount Pictures,PG-13,Adventure,1,7.6,280907.0,26.807692307692307,,67022245.0,19.24055857064399,18.064005814299346,0,0.0,0.0,0.0,,0.0
398,330,70,1470.0,2037,tt0335438,movie,Starsky & Hutch,Starsky & Hutch,0,2004,\N,101,"Comedy,Crime",starsky  hutch,2004-03-05,Starsky & Hutch,60000000.0,88200225.0,170200225.0,Warner Bros.,PG-13,Comedy,1,6.1,152751.0,42.44444444444444,,110200225.0,19.41467381990749,17.909855136853043,0,0.0,0.0,0.0,,0.0
399,331,71,1471.0,2885,tt0441796,movie,Stay Alive,Stay Alive,0,2006,\N,85,"Fantasy,Horror,Mystery",stay alive,2006-03-24,Stay Alive,20000000.0,23086480.0,23187506.0,Walt Disney,PG-13,Horror,1,5.0,33604.0,6.057692307692308,,3187506.0,18.910410447319062,16.811242881518265,1,18.89132660442347,6.5,13.122365377402328,tt0385056,20.307692307692307
400,333,73,1473.0,2409,tt0382992,movie,Stealth,Stealth,0,2005,\N,121,"Action,Adventure,Sci-Fi",stealth,2005-07-29,Stealth,138000000.0,32116746.0,76416746.0,Sony Pictures,PG-13,Action,1,5.1,55711.0,44.38461538461539,,-61583254.0,18.40472154063071,18.742764250367856,1,19.030045245848914,6.6,15.593185102994445,"tt0418773,tt0405325",15.855769230769234
401,334,74,1474.0,2106,tt0348121,movie,Steamboy,Suchîmubôi,0,2004,\N,126,"Action,Adventure,Animation",steamboy,2005-03-18,Steamboy,20000000.0,468867.0,10468867.0,Sony Pictures,PG-13,Action,1,6.8,18455.0,16.923076923076923,,-9531133.0,18.829266763612456,16.811242881518265,1,19.15817469496136,5.7,17.38096000311245,"tt0377109,tt0396652",8.548076923076923
402,335,76,1476.0,3037,tt0462590,movie,Step Up,Step Up,0,2006,\N,104,"Crime,Drama,Music",step up,2006-08-11,Step Up,12000000.0,65328121.0,110989157.0,Walt Disney,PG-13,Drama,1,6.5,124803.0,9.73076923076923,,98989157.0,19.372296757783754,16.300417291085605,1,18.993812239794455,5.55,16.413882256688677,"tt0454919,tt0469641,tt0383060,tt0468489",45.0625
403,336,77,1477.0,8700,tt1193631,movie,Step Up 3D,Step Up 3D,0,2010,\N,107,"Drama,Music,Romance",step up d,2010-08-06,Step Up 3D,30000000.0,42400223.0,165889117.0,Walt Disney,PG-13,Drama,1,6.2,59725.0,5.826923076923077,,135889117.0,19.505495340756372,17.21670797295976,1,19.010089801347046,6.699999999999999,17.615961817735315,"tt1386588,tt1251757",7.836538461538462
404,337,78,1478.0,15369,tt1800741,movie,Step Up Revolution,Step Up Revolution,0,2012,\N,99,"Drama,Music,Romance",step up revolution,2012-07-27,Step Up Revolution,33000000.0,35074677.0,165552290.0,Lionsgate,PG-13,Drama,1,6.4,57664.0,5.384615384615385,,132552290.0,19.494153981307832,17.312018149733785,1,18.96376083048753,5.7,17.822843761378564,tt1298649,52.48076923076923
405,338,79,1479.0,5291,tt0826751,movie,Steppin: The Movie,Steppin: The Movie,0,2009,\N,138,"Comedy,Music",steppin the movie,2008-12-31,Steppin: The Movie,1000000.0,0.0,0.0,Weinstein Co.,PG-13,Comedy,1,3.2,388.0,10.057692307692308,,-1000000.0,18.884414766473814,13.815511557963774,1,18.936012500694115,6.699999999999999,17.105136206330435,"tt0959337,tt0436364",45.30769230769231
406,339,80,1480.0,17051,tt2080374,movie,Steve Jobs,Steve Jobs,0,2015,\N,122,"Biography,Drama",steve jobs,2015-10-09,Steve Jobs,30000000.0,17766658.0,35579007.0,Universal,R,Drama,1,7.2,176087.0,33.55769230769231,,5579007.0,18.924959028595264,17.21670797295976,1,18.878167351785084,6.4,17.563281574906398,"tt3332064,tt1921149",66.63461538461539
407,340,81,1481.0,2791,tt0430634,movie,Stick It,Stick It,0,2006,\N,103,"Comedy,Drama,Sport",stick it,2006-04-28,Stick It,20000000.0,26910736.0,30399714.0,Walt Disney,PG-13,Comedy,1,6.4,30102.0,9.134615384615383,,10399714.0,18.95365749982288,16.811242881518265,1,19.035321099067268,6.85,16.39157806601036,"tt0475276,tt13320622",27.894230769230766
408,341,82,1482.0,23144,tt3316960,movie,Still Alice,Still Alice,0,2014,\N,101,Drama,still alice,2015-01-16,Still Alice,5000000.0,18656400.0,41699612.0,Sony Pictures Classics,PG-13,Drama,1,7.5,141496.0,6.4423076923076925,,36699612.0,19.09718831589421,15.424948670398354,1,19.24702949359227,6.733333333333333,16.928861275053947,"tt1109624,tt0884732,tt1068678",26.602564102564106
409,342,83,1483.0,14650,tt1682180,movie,Stoker,Stoker,0,2013,\N,99,"Drama,Thriller",stoker,2013-03-01,Stoker,12000000.0,1703125.0,12034913.0,Fox Searchlight,R,Drama,1,6.7,113198.0,6.173076923076923,,34913.0,18.890902561893213,16.300417291085605,1,18.964404682063268,5.05,15.260696673023439,"tt0857190,tt2034139",23.625
410,343,84,1484.0,14466,tt1656186,movie,Stolen,Stolen,0,2012,\N,96,"Action,Crime,Thriller",stolen,2012-09-14,Stolen,35000000.0,289773.0,17967746.0,Alchemy,R,Action,1,5.5,46082.0,73.4423076923077,,-17032254.0,18.778129617330436,17.370858648025116,1,19.159761635572,6.2,16.47586076964768,"tt1855325,tt0106233,tt1560747",39.85897435897436
411,345,86,1486.0,5027,tt0775539,movie,Stomp the Yard,Stomp the Yard,0,2007,\N,115,"Drama,Music,Romance",stomp the yard,2007-01-12,Stomp the Yard,14000000.0,61356221.0,75525718.0,Sony Pictures,PG-13,Drama,1,5.4,26243.0,4.480769230769231,,61525718.0,19.216049253575704,16.454567959008102,1,19.079887116893712,6.8,18.197537205138154,tt5807510,12.884615384615383
412,346,87,1487.0,11919,tt1423995,movie,Stone,Stone,0,2010,\N,105,"Action,Drama,Mystery",stone,2010-10-08,Stone,22000000.0,1810078.0,4065020.0,Overture Films,R,Drama,1,5.4,42512.0,80.4423076923077,,-17934980.0,18.771795405130096,16.906553056777135,1,18.901529523958725,6.283333333333332,15.875130822373405,"tt0804497,tt1319716,tt0872230,tt1266029,tt1028576,tt1242432",11.634615384615385
