,Unnamed: 0.1,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,search_index,error_message
82,882.0,1404,tt0247444,movie,Juwanna Mann,Juwanna Mann,0,2002,\N,91,"Comedy,Drama,Romance",juwanna mann,2002-06-21,Juwanna Mann,15600000.0,13571817.0,13771817.0,Warner Bros.,PG-13,Comedy,1,4.7,6979.0,,The request failed: Google returned a response with code 500
83,883.0,288,tt0057212,movie,Jûsan-nin no shikaku,Jûsan-nin no shikaku,0,1963,\N,125,"Action,Adventure",jsannin no shikaku,2011-04-29,Jûsan-nin no shikaku,6000000.0,802778.0,18727440.0,Magnolia Pictures,R,Action,1,7.4,1027.0,23.46153846153846,
85,885.0,1552,tt0272152,movie,K-PAX,K-PAX,0,2001,\N,120,"Drama,Mystery,Sci-Fi",kpax,2001-08-13,K-PAX,48000000.0,50315140.0,50315140.0,Universal,PG-13,Drama,1,7.4,190809.0,,The request failed: Google returned a response with code 500
87,887.0,24958,tt4139124,movie,Keanu,Keanu,0,2016,\N,100,"Action,Comedy,Crime",keanu,2016-04-29,Keanu,15000000.0,20591853.0,20688141.0,Warner Bros.,R,Comedy,1,6.2,51323.0,26.28846153846154,
88,888.0,2668,tt0415949,movie,Keeping Up with the Steins,Keeping Up with the Steins,0,2006,\N,90,Comedy,keeping up with the steins,2006-05-12,Keeping Up with the Steins,5000000.0,4339241.0,4414753.0,Miramax,PG-13,Comedy,1,5.4,3296.0,6.5,
89,889.0,14420,tt1650554,movie,Kick-Ass 2,Kick-Ass 2,0,2013,\N,103,"Action,Comedy,Crime",kickass ,2013-08-16,Kick-Ass 2,28000000.0,28795985.0,63129909.0,Universal,R,Action,1,6.5,284251.0,12.26923076923077,
90,890.0,25209,tt4254584,movie,Kicks,Kicks,0,2016,\N,80,"Adventure,Drama",kicks,2016-09-09,Kicks,10000000.0,150191.0,150191.0,Focus World,R,Adventure,1,6.4,4466.0,79.01923076923077,
91,891.0,11829,tt1416801,movie,Kill the Irishman,Kill the Irishman,0,2011,\N,106,"Biography,Crime,Drama",kill the irishman,2011-03-11,Kill the Irishman,12000000.0,1188194.0,1188194.0,Anchor Bay Entertai…,R,Drama,1,7.0,50475.0,5.961538461538462,
92,892.0,12227,tt1448755,movie,Killer Elite,Killer Elite,0,2011,\N,116,"Action,Crime,Thriller",killer elite,2011-09-23,Killer Elite,70000000.0,25124986.0,65409046.0,Open Road,R,Action,1,6.4,134179.0,6.230769230769231,
93,893.0,7447,tt1103153,movie,Killers,Killers,0,2010,\N,100,"Action,Comedy,Romance",killers,2010-06-04,Killers,75000000.0,47059963.0,95572749.0,Lionsgate,PG-13,Action,1,5.4,95091.0,33.75,
94,894.0,2116,tt0349683,movie,King Arthur,King Arthur,0,2004,\N,126,"Action,Adventure,Drama",king arthur,2004-07-07,King Arthur,90000000.0,51877963.0,203877963.0,Walt Disney,PG-13,Adventure,1,6.3,173941.0,24.48148148148148,
95,895.0,16365,tt1972591,movie,King Arthur: Legend of the Sword,King Arthur: Legend of the Sword,0,2017,\N,126,"Action,Adventure,Drama",king arthur legend of the sword,2017-05-12,King Arthur: Legend of the Sword,175000000.0,39175066.0,139950708.0,Warner Bros.,PG-13,Adventure,1,6.7,227889.0,5.923076923076923,
96,896.0,2465,tt0388182,movie,King of California,King of California,0,2007,\N,93,"Comedy,Drama",king of california,2007-09-14,King of California,10000000.0,268461.0,1165102.0,First Look,PG-13,Drama,1,6.6,23474.0,32.75,
97,897.0,2466,tt0388183,movie,King's Ransom,King's Ransom,0,2005,\N,95,"Comedy,Crime",kings ransom,2005-04-22,King's Ransom,25000000.0,4008527.0,4049527.0,New Line,PG-13,Comedy,1,4.4,3883.0,20.307692307692307,
98,898.0,1391,tt0246002,movie,Kingdom Come,Kingdom Come,0,2001,\N,94,"Comedy,Drama",kingdom come,2001-04-11,Kingdom Come,7000000.0,23247539.0,23393939.0,Fox Searchlight,PG,Comedy,1,5.5,2395.0,,The request failed: Google returned a response with code 500
99,899.0,1933,tt0320661,movie,Kingdom of Heaven,Kingdom of Heaven,0,2005,\N,144,"Action,Adventure,Drama",kingdom of heaven,2005-05-06,Kingdom of Heaven,110000000.0,47398413.0,218853353.0,20th Century Fox,R,Adventure,1,7.2,304996.0,6.365384615384615,
100,900.0,25989,tt4649466,movie,Kingsman: The Golden Circle,Kingsman: The Golden Circle,0,2017,\N,141,"Action,Adventure,Comedy",kingsman the golden circle,2017-09-22,Kingsman: The Golden Circle,104000000.0,100234838.0,408822328.0,20th Century Fox,R,Action,1,6.7,352945.0,5.019230769230769,
101,901.0,21135,tt2802144,movie,Kingsman: The Secret Service,Kingsman: The Secret Service,0,2014,\N,129,"Action,Adventure,Comedy",kingsman the secret service,2015-02-13,Kingsman: The Secret Service,94000000.0,128261724.0,404561724.0,20th Century Fox,R,Action,1,7.7,701074.0,6.153846153846154,
102,902.0,2202,tt0362269,movie,Kinsey,Kinsey,0,2004,\N,118,"Biography,Drama,Romance",kinsey,2004-11-12,Kinsey,11000000.0,10214647.0,17443529.0,Fox Searchlight,R,Drama,1,7.1,50591.0,19.22222222222222,
103,903.0,8186,tt1153680,tvEpisode,"Kiss Kiss, Bang Bang","Kiss Kiss, Bang Bang",0,2008,\N,50,"Action,Drama,Mystery",kiss kiss bang bang,2005-10-21,"Kiss Kiss, Bang Bang",15000000.0,4235837.0,16829464.0,Warner Bros.,R,Comedy,1,8.0,1307.0,14.634615384615383,
105,905.0,5395,tt0846308,movie,Kit Kittredge: An American Girl,Kit Kittredge: An American Girl,0,2008,\N,101,"Comedy,Drama,Family",kit kittredge an american girl,2008-06-20,Kit Kittredge: An American Girl,10000000.0,17657973.0,17657973.0,Picturehouse,G,Drama,1,6.5,6262.0,15.884615384615383,
106,906.0,6210,tt1013743,movie,Knight and Day,Knight and Day,0,2010,\N,109,"Action,Adventure,Comedy",knight and day,2010-06-23,Knight and Day,117000000.0,76423035.0,258751370.0,20th Century Fox,PG-13,Action,1,6.3,207020.0,3.3846153846153846,
108,908.0,25288,tt4302938,movie,Kubo and the Two Strings,Kubo and the Two Strings,0,2016,\N,101,"Action,Adventure,Animation",kubo and the two strings,2016-08-19,Kubo and the Two Strings,55000000.0,48023088.0,77548564.0,Focus Features,PG,Adventure,1,7.7,136467.0,4.0,
